partition_index,partition_id,calibration_condition_ids,evaluation_condition_ids,calibration_condition_count,evaluation_condition_count,fallback_calibration_count,specialist_calibration_count,fallback_evaluation_count,specialist_evaluation_count
62,partition_062_4b5fb8766abc,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
63,partition_063_22073250a8a4,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
64,partition_064_99001de45129,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
65,partition_065_cc80f5049cb6,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,6,4,5,1,3,1
66,partition_066_159fc0039682,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
67,partition_067_3789d354dacc,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
68,partition_068_f6b151084bb4,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
69,partition_069_415ea177ceb5,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50,6,4,5,1,3,1
70,partition_070_69ae8b304668,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5,6,4,5,1,3,1
71,partition_071_2df49cc72259,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
72,partition_072_d85f8b04c725,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
73,partition_073_e72c4ca4dd72,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
74,partition_074_7708a3401840,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
75,partition_075_dacb588da8d4,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
76,partition_076_1e219a65c6c1,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
77,partition_077_7922a4c0755c,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
78,partition_078_bafa0ef182e5,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
79,partition_079_46229a5c1140,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
80,partition_080_82d3684022f4,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
81,partition_081_1e039299581f,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
82,partition_082_2bf9d7435406,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
83,partition_083_73c89e0840ec,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
84,partition_084_60920b8a4119,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
85,partition_085_22f746481223,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
86,partition_086_ee7fc0e082b1,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
87,partition_087_c320e4ae0e58,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
88,partition_088_057c9bfa63d4,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
89,partition_089_3d0fed3e39e1,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
90,partition_090_c65a0ea21e56,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,6,4,5,1,3,1
91,partition_091_9d16cd712a7a,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,6,0,2,2
92,partition_092_cf5043ea6499,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,6,0,2,2
93,partition_093_f5c1c1153c3c,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,6,0,2,2
94,partition_094_84a497c6800a,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,6,0,2,2
95,partition_095_05f4783f61e6,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,6,0,2,2
96,partition_096_97990d879252,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,6,0,2,2
97,partition_097_b8c21ec8f280,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,6,4,6,0,2,2
98,partition_098_7569215fa459,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,6,4,6,0,2,2
99,partition_099_c828168ba3d7,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,6,4,6,0,2,2
100,partition_100_318878c0705d,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,6,4,6,0,2,2
101,partition_101_f0322eece238,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC87.5,6,4,6,0,2,2
102,partition_102_768ac8460862,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75,6,4,6,0,2,2
103,partition_103_af5d880c4300,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5,6,4,6,0,2,2
104,partition_104_252cb8ecef57,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50,6,4,6,0,2,2
105,partition_105_6ddb9250f7fd,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5,6,4,6,0,2,2
106,partition_106_4ae33c482b5e,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
107,partition_107_a6284ab92bc6,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
108,partition_108_87b804e5446e,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
109,partition_109_704134d42fe6,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
110,partition_110_cf7b7460f954,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
111,partition_111_fcb845a0aac7,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
112,partition_112_9c435f56bd1b,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
113,partition_113_e0abd8b427ce,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
114,partition_114_5c65fb06830f,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
115,partition_115_a02535e8f6fc,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,6,4,5,1,3,1
116,partition_116_3bae2451aedc,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
117,partition_117_fe7d72b89e3c,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
118,partition_118_0f09157ac8e5,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
119,partition_119_54914b933b0d,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50,6,4,5,1,3,1
120,partition_120_3d9baa460074,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5,6,4,5,1,3,1
121,partition_121_61a3857f3390,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC87.5,6,4,6,0,2,2
122,partition_122_d3f4ace0ebe7,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC75,6,4,6,0,2,2
